City,Strategy,Weather event,Community system,Category,Specific Impact/Sector
Albany,"A vulnerable area overlay district includes both temporal and spatial planning requirements to reﬂect changes in sea level and ﬂood inundation. Land in this area would be subject to additional building codes and land-use regulation in order to protect property from ﬂooding. New development could be required to conduct a vulnerability assessment as part of the permit review process, similar to the City of Boston.",Coastal flood;Permanent inundation,,land use,Infrastructure: Buildings/Development
Albany,"Develop design standards and building and zoning codes that address the impacts of climate change. These might include no build zones, renewable energy incentives, green building requirements, and freeboard incentives for ﬂood prone areas.",,,"land use, building codes and engineering design standards",Infrastructure: Buildings/Development
Albany,Work to become a Class 1 Community under FEMA's Community Rating Systems,,,practice and behavior,Infrastructure: Buildings/Development
Albany,Create a plan to address ﬂooding for at-risk critical facilities,Flash / surface flood;Coastal flood;River flood,Government continuity;Public health,planning,Infrastructure: Critical Facilities
Albany,Identify vulnerable communications infrastructure,,Internet and communications,research and monitoring,Infrastructure: Critical Facilities
Albany,"Cool strategies include green roofs, white roofs, strategically planted trees, green walls and urban greening. Many of these strategies are also addressed in other recommendations.",Extreme hot days,,green infrastructure,Infrastructure: Energy
Albany,Increase local renewable energy sources,,Energy,technology,Infrastructure: Energy
Albany,Invest in solar powered generators. Diesel generators have signiﬁcant negative impacts on air quality and should not be used especially during extreme heat events.,Extreme hot days;Heat wave,Public health,technology,Infrastructure: Energy
Albany,Enhance stations and stops to provide protection from the elements such as structures or trees for heat relief,Extreme hot days;Heat wave,Transportation,physical infrastructure,Infrastructure: Public Transportation
Albany,Ensure that buses will be able to keep passengers comfortable and function properly with increased heat.,Extreme hot days;Heat wave,Transportation;Public health,practice and behavior,Infrastructure: Public Transportation
Albany,Ensure that municipal employees are equipped to work from home when ﬂooding prevents access to downtown Albany in order to maintain other services.,Flash / surface flood;Coastal flood;River flood,Business continuity;Government continuity,practice and behavior,Infrastructure: Public Transportation
Albany,Paint bus roofs white,Extreme hot days,Transportation,practice and behavior,Infrastructure: Public Transportation
Albany,"There are three strategies for adapting infrastructure: Accommodate (i.e. elevate), retreat, or abandon. Link these ratings with capital improvement schedules and implement appropriate stormwater BPMs.",,Wastewater/stormwater management,practice and behavior;funding,Infrastructure: Public Transportation
Albany,"Green infrastructure such as swales, rain gardens, and permeable pavers alongside roads, as well as permeable pavement, can help capture stormwater runoff and mitigate road ﬂooding. Excessive heat events may impact the durability of road surfaces.",Flash / surface flood;Extreme hot days;Heat wave,Transportation;Wastewater/stormwater management,green infrastructure,Infrastructure: Roads
Albany,Transform low-volume roads with impervious pavement in order to increase water inﬁltration and reduce urban ﬂooding.,Flash / surface flood,Transportation;Wastewater/stormwater management,green infrastructure,Infrastructure: Roads
Albany,"Implement a pavement removal day where residents can apply to have their pavement torn up in order to create more pervious surfaces. This has been done in urban areas such as Somerville, MA by employing teams of volunteers.",Rain storm,Wastewater/stormwater management,practice and behavior,Infrastructure: Roads
Albany,Incorporate projected precipitation data and Hudson River tide levels in future stormwater/ CSO mitigation projects and plans,Rain storm;River flood,Wastewater/stormwater management,planning,Infrastructure: Sewer treatment
Albany,"Develop and adopt policies regarding the citing, permitting, and maintenance of MSW and other similar facilities in designated and projected ﬂood-prone zones to ensure that dispersal of toxic materials and MSW does not occur during ﬂooding events.",Flash/ surface flood;River flood;Groundwater flood,Waste management,policy,Infrastructure: Solid Waste
Albany,Implement a citywide green infrastructure program and increase urban greening through a Green Area Factor ranking system.,,Water supply,green infrastructure,Infrastructure: Water
Albany,Require new development projects to demonstrate projected water use,,Water supply;Industrial operations,policy,Infrastructure: Water
Albany,Enact Water Efﬁcient Landscaping Standards,Drought,Water supply,"water conservation, policy",Infrastructure: Water
Albany,Provide natural habitat as much as possible in open space planning to support biodiversity and as a measure of ﬂood control.,Flash / surface flood;River flood,Ecological function,green infrastructure,Natural Resources: Natural Habitat
Albany,"As a particularly sensitive habitat, the city should work with the Commission, as well as the Towns of Colonie and Guilderland, to protect the remaining unprotected parcels of Pine Bush habitat.",,,land use,Natural Resources: Natural Habitat
Albany,"Ensure that habitats, particularly those areas within the Corning Preserve and the Pine Bush Preserve, are not further fragmented or compromised by development by protecting or restoring key parcels that connect larger patches of habitat.",,,land use,Natural Resources: Natural Habitat
Albany,Coordinate with Albany Pine Bush Preserve Commission and local watershed organizations to initiate invasive species removal days.,,,practice and behavior,Natural Resources: Natural Habitat
Albany,Work with the Albany Pine Bush Preserve Commission and others to study impacts of climate change on the habitat and communities pine bush ecosystem and particularly vulnerable species,Changed seasonal patterns,,research and monitoring,Natural Resources: Natural Habitat
Albany,Modify tree planting guide,,,practice and behavior,Natural Resources: Urban forest
Albany,Conduct tree canopy assessment and implement comprehensive street tree planting program.,Extreme hot days,,practice and behavior;research and monitoring,Natural Resources: Urban forest
