"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","1976-1980","6","",
"01","Alabama","01001","Autauga","1981-1985","3","",
"01","Alabama","01001","Autauga","1986-1990","7","",
"01","Alabama","01001","Autauga","1991-1995","4","",
"01","Alabama","01001","Autauga","1996-2000","7","",
"01","Alabama","01001","Autauga","2001-2005","8","",
"01","Alabama","01001","Autauga","2006-2010","8","",
"01","Alabama","01001","Autauga","2011-2015","5","",
"01","Alabama","01003","Baldwin","1976-1980","4","",
"01","Alabama","01003","Baldwin","1981-1985","6","",
"01","Alabama","01003","Baldwin","1986-1990","7","",
"01","Alabama","01003","Baldwin","1991-1995","4","",
"01","Alabama","01003","Baldwin","1996-2000","10","",
"01","Alabama","01003","Baldwin","2001-2005","8","",
"01","Alabama","01003","Baldwin","2006-2010","4","",
"01","Alabama","01003","Baldwin","2011-2015","6","",
"01","Alabama","01005","Barbour","1976-1980","4","",
"01","Alabama","01005","Barbour","1981-1985","5","",
"01","Alabama","01005","Barbour","1986-1990","7","",
"01","Alabama","01005","Barbour","1991-1995","7","",
"01","Alabama","01005","Barbour","1996-2000","7","",
"01","Alabama","01005","Barbour","2001-2005","5","",
"01","Alabama","01005","Barbour","2006-2010","7","",
"01","Alabama","01005","Barbour","2011-2015","4","",
"01","Alabama","01007","Bibb","1976-1980","5","",
"01","Alabama","01007","Bibb","1981-1985","4","",
"01","Alabama","01007","Bibb","1986-1990","5","",
"01","Alabama","01007","Bibb","1991-1995","4","",
"01","Alabama","01007","Bibb","1996-2000","4","",
"01","Alabama","01007","Bibb","2001-2005","3","",
"01","Alabama","01007","Bibb","2006-2010","10","",
"01","Alabama","01007","Bibb","2011-2015","5","",
"01","Alabama","01009","Blount","1976-1980","4","",
"01","Alabama","01009","Blount","1981-1985","3","",
"01","Alabama","01009","Blount","1986-1990","5","",
"01","Alabama","01009","Blount","1991-1995","5","",
"01","Alabama","01009","Blount","1996-2000","3","",
"01","Alabama","01009","Blount","2001-2005","3","",
"01","Alabama","01009","Blount","2006-2010","14","",
"01","Alabama","01009","Blount","2011-2015","3","",
"01","Alabama","01011","Bullock","1976-1980","4","",
"01","Alabama","01011","Bullock","1981-1985","5","",
"01","Alabama","01011","Bullock","1986-1990","4","",
"01","Alabama","01011","Bullock","1991-1995","7","",
"01","Alabama","01011","Bullock","1996-2000","7","",
"01","Alabama","01011","Bullock","2001-2005","4","",
"01","Alabama","01011","Bullock","2006-2010","5","",
"01","Alabama","01011","Bullock","2011-2015","4","",
"01","Alabama","01013","Butler","1976-1980","3","",
"01","Alabama","01013","Butler","1981-1985","4","",
"01","Alabama","01013","Butler","1986-1990","7","",
"01","Alabama","01013","Butler","1991-1995","4","",
"01","Alabama","01013","Butler","1996-2000","10","",
"01","Alabama","01013","Butler","2001-2005","6","",
"01","Alabama","01013","Butler","2006-2010","5","",
"01","Alabama","01013","Butler","2011-2015","5","",
"01","Alabama","01015","Calhoun","1976-1980","3","",
"01","Alabama","01015","Calhoun","1981-1985","3","",
"01","Alabama","01015","Calhoun","1986-1990","7","",
"01","Alabama","01015","Calhoun","1991-1995","6","",
"01","Alabama","01015","Calhoun","1996-2000","6","",
"01","Alabama","01015","Calhoun","2001-2005","7","",
"01","Alabama","01015","Calhoun","2006-2010","14","",
"01","Alabama","01015","Calhoun","2011-2015","6","",
"01","Alabama","01017","Chambers","1976-1980","4","",
"01","Alabama","01017","Chambers","1981-1985","5","",
"01","Alabama","01017","Chambers","1986-1990","5","",
"01","Alabama","01017","Chambers","1991-1995","5","",
"01","Alabama","01017","Chambers","1996-2000","7","",
"01","Alabama","01017","Chambers","2001-2005","14","",
"01","Alabama","01017","Chambers","2006-2010","10","",
"01","Alabama","01017","Chambers","2011-2015","5","",
"01","Alabama","01019","Cherokee","1976-1980","4","",
"01","Alabama","01019","Cherokee","1981-1985","4","",
"01","Alabama","01019","Cherokee","1986-1990","7","",
"01","Alabama","01019","Cherokee","1991-1995","6","",
"01","Alabama","01019","Cherokee","1996-2000","5","",
"01","Alabama","01019","Cherokee","2001-2005","3","",
"01","Alabama","01019","Cherokee","2006-2010","9","",
"01","Alabama","01019","Cherokee","2011-2015","6","",
"01","Alabama","01021","Chilton","1976-1980","5","",
"01","Alabama","01021","Chilton","1981-1985","4","",
"01","Alabama","01021","Chilton","1986-1990","5","",
"01","Alabama","01021","Chilton","1991-1995","6","",
"01","Alabama","01021","Chilton","1996-2000","6","",
"01","Alabama","01021","Chilton","2001-2005","3","",
"01","Alabama","01021","Chilton","2006-2010","7","",
"01","Alabama","01021","Chilton","2011-2015","3","",
"01","Alabama","01023","Choctaw","1976-1980","4","",
"01","Alabama","01023","Choctaw","1981-1985","3","",
"01","Alabama","01023","Choctaw","1986-1990","5","",
"01","Alabama","01023","Choctaw","1991-1995","3","",
"01","Alabama","01023","Choctaw","1996-2000","6","",
"01","Alabama","01023","Choctaw","2001-2005","5","",
"01","Alabama","01023","Choctaw","2006-2010","4","",
"01","Alabama","01023","Choctaw","2011-2015","5","",
"01","Alabama","01025","Clarke","1976-1980","4","",
"01","Alabama","01025","Clarke","1981-1985","6","",
"01","Alabama","01025","Clarke","1986-1990","7","",
"01","Alabama","01025","Clarke","1991-1995","3","",
"01","Alabama","01025","Clarke","1996-2000","10","",
"01","Alabama","01025","Clarke","2001-2005","4","",
"01","Alabama","01025","Clarke","2006-2010","5","",
"01","Alabama","01025","Clarke","2011-2015","4","",
"01","Alabama","01027","Clay","1976-1980","5","",
"01","Alabama","01027","Clay","1981-1985","4","",
"01","Alabama","01027","Clay","1986-1990","7","",
"01","Alabama","01027","Clay","1991-1995","3","",
"01","Alabama","01027","Clay","1996-2000","6","",
"01","Alabama","01027","Clay","2001-2005","3","",
"01","Alabama","01027","Clay","2006-2010","14","",
"01","Alabama","01027","Clay","2011-2015","6","",
"01","Alabama","01029","Cleburne","1976-1980","4","",
"01","Alabama","01029","Cleburne","1981-1985","4","",
"01","Alabama","01029","Cleburne","1986-1990","7","",
"01","Alabama","01029","Cleburne","1991-1995","6","",
"01","Alabama","01029","Cleburne","1996-2000","4","",
"01","Alabama","01029","Cleburne","2001-2005","3","",
"01","Alabama","01029","Cleburne","2006-2010","14","",
"01","Alabama","01029","Cleburne","2011-2015","6","",
"01","Alabama","01031","Coffee","1976-1980","6","",
"01","Alabama","01031","Coffee","1981-1985","4","",
"01","Alabama","01031","Coffee","1986-1990","5","",
"01","Alabama","01031","Coffee","1991-1995","5","",
"01","Alabama","01031","Coffee","1996-2000","10","",
"01","Alabama","01031","Coffee","2001-2005","8","",
"01","Alabama","01031","Coffee","2006-2010","4","",
"01","Alabama","01031","Coffee","2011-2015","5","",
"01","Alabama","01033","Colbert","1976-1980","5","",
"01","Alabama","01033","Colbert","1981-1985","4","",
"01","Alabama","01033","Colbert","1986-1990","8","",
"01","Alabama","01033","Colbert","1991-1995","3","",
"01","Alabama","01033","Colbert","1996-2000","6","",
"01","Alabama","01033","Colbert","2001-2005","2","",
"01","Alabama","01033","Colbert","2006-2010","7","",
"01","Alabama","01033","Colbert","2011-2015","5","",
"01","Alabama","01035","Conecuh","1976-1980","4","",
"01","Alabama","01035","Conecuh","1981-1985","4","",
"01","Alabama","01035","Conecuh","1986-1990","7","",
"01","Alabama","01035","Conecuh","1991-1995","3","",
"01","Alabama","01035","Conecuh","1996-2000","7","",
"01","Alabama","01035","Conecuh","2001-2005","7","",
"01","Alabama","01035","Conecuh","2006-2010","4","",
"01","Alabama","01035","Conecuh","2011-2015","4","",
"01","Alabama","01037","Coosa","1976-1980","6","",
"01","Alabama","01037","Coosa","1981-1985","4","",
"01","Alabama","01037","Coosa","1986-1990","7","",
"01","Alabama","01037","Coosa","1991-1995","6","",
"01","Alabama","01037","Coosa","1996-2000","4","",
"01","Alabama","01037","Coosa","2001-2005","3","",
"01","Alabama","01037","Coosa","2006-2010","14","",
"01","Alabama","01037","Coosa","2011-2015","3","",
"01","Alabama","01039","Covington","1976-1980","6","",
"01","Alabama","01039","Covington","1981-1985","3","",
"01","Alabama","01039","Covington","1986-1990","4","",
"01","Alabama","01039","Covington","1991-1995","5","",
"01","Alabama","01039","Covington","1996-2000","13","",
"01","Alabama","01039","Covington","2001-2005","7","",
"01","Alabama","01039","Covington","2006-2010","4","",
"01","Alabama","01039","Covington","2011-2015","7","",
"01","Alabama","01041","Crenshaw","1976-1980","4","",
"01","Alabama","01041","Crenshaw","1981-1985","3","",
"01","Alabama","01041","Crenshaw","1986-1990","7","",
"01","Alabama","01041","Crenshaw","1991-1995","4","",
"01","Alabama","01041","Crenshaw","1996-2000","10","",
"01","Alabama","01041","Crenshaw","2001-2005","8","",
"01","Alabama","01041","Crenshaw","2006-2010","5","",
"01","Alabama","01041","Crenshaw","2011-2015","5","",
"01","Alabama","01043","Cullman","1976-1980","6","",
"01","Alabama","01043","Cullman","1981-1985","3","",
"01","Alabama","01043","Cullman","1986-1990","6","",
"01","Alabama","01043","Cullman","1991-1995","3","",
"01","Alabama","01043","Cullman","1996-2000","6","",
"01","Alabama","01043","Cullman","2001-2005","3","",
"01","Alabama","01043","Cullman","2006-2010","14","",
"01","Alabama","01043","Cullman","2011-2015","5","",
"01","Alabama","01045","Dale","1976-1980","6","",
"01","Alabama","01045","Dale","1981-1985","5","",
"01","Alabama","01045","Dale","1986-1990","7","",
"01","Alabama","01045","Dale","1991-1995","5","",
"01","Alabama","01045","Dale","1996-2000","10","",
"01","Alabama","01045","Dale","2001-2005","9","",
"01","Alabama","01045","Dale","2006-2010","5","",
"01","Alabama","01045","Dale","2011-2015","5","",
"01","Alabama","01047","Dallas","1976-1980","5","",
"01","Alabama","01047","Dallas","1981-1985","4","",
"01","Alabama","01047","Dallas","1986-1990","7","",
"01","Alabama","01047","Dallas","1991-1995","4","",
"01","Alabama","01047","Dallas","1996-2000","6","",
"01","Alabama","01047","Dallas","2001-2005","3","",
"01","Alabama","01047","Dallas","2006-2010","8","",
"01","Alabama","01047","Dallas","2011-2015","4","",
"01","Alabama","01049","DeKalb","1976-1980","3","",
"01","Alabama","01049","DeKalb","1981-1985","3","",
"01","Alabama","01049","DeKalb","1986-1990","7","",
