"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2011","1,689","",
"01","Alabama","01003","Baldwin","2011","11,986","",
"01","Alabama","01005","Barbour","2011","451","",
"01","Alabama","01007","Bibb","2011","960","",
"01","Alabama","01009","Blount","2011","1,319","",
"01","Alabama","01011","Bullock","2011","547","",
"01","Alabama","01013","Butler","2011","597","",
"01","Alabama","01015","Calhoun","2011","6,091","",
"01","Alabama","01017","Chambers","2011","530","",
"01","Alabama","01019","Cherokee","2011","2,707","",
"01","Alabama","01021","Chilton","2011","987","",
"01","Alabama","01023","Choctaw","2011","1,258","",
"01","Alabama","01025","Clarke","2011","328","",
"01","Alabama","01027","Clay","2011","307","",
"01","Alabama","01029","Cleburne","2011","741","",
"01","Alabama","01031","Coffee","2011","1,700","",
"01","Alabama","01033","Colbert","2011","1,564","",
"01","Alabama","01035","Conecuh","2011","179","",
"01","Alabama","01037","Coosa","2011","572","",
"01","Alabama","01039","Covington","2011","851","",
"01","Alabama","01041","Crenshaw","2011","214","",
"01","Alabama","01043","Cullman","2011","1,320","",
"01","Alabama","01045","Dale","2011","902","",
"01","Alabama","01047","Dallas","2011","6,255","",
"01","Alabama","01049","DeKalb","2011","1,784","",
"01","Alabama","01051","Elmore","2011","4,147","",
"01","Alabama","01053","Escambia","2011","1,268","",
"01","Alabama","01055","Etowah","2011","5,221","",
"01","Alabama","01057","Fayette","2011","561","",
"01","Alabama","01059","Franklin","2011","811","",
"01","Alabama","01061","Geneva","2011","927","",
"01","Alabama","01063","Greene","2011","933","",
"01","Alabama","01065","Hale","2011","1,435","",
"01","Alabama","01067","Henry","2011","324","",
"01","Alabama","01069","Houston","2011","2,410","",
"01","Alabama","01071","Jackson","2011","3,018","",
"01","Alabama","01073","Jefferson","2011","22,416","",
"01","Alabama","01075","Lamar","2011","991","",
"01","Alabama","01077","Lauderdale","2011","2,024","",
"01","Alabama","01079","Lawrence","2011","1,393","",
"01","Alabama","01081","Lee","2011","2,832","",
"01","Alabama","01083","Limestone","2011","2,193","",
"01","Alabama","01085","Lowndes","2011","806","",
"01","Alabama","01087","Macon","2011","900","",
"01","Alabama","01089","Madison","2011","17,346","",
"01","Alabama","01091","Marengo","2011","1,228","",
"01","Alabama","01093","Marion","2011","793","",
"01","Alabama","01095","Marshall","2011","1,967","",
"01","Alabama","01097","Mobile","2011","24,715","",
"01","Alabama","01099","Monroe","2011","216","",
"01","Alabama","01101","Montgomery","2011","14,297","",
"01","Alabama","01103","Morgan","2011","5,024","",
"01","Alabama","01105","Perry","2011","310","",
"01","Alabama","01107","Pickens","2011","1,311","",
"01","Alabama","01109","Pike","2011","561","",
"01","Alabama","01111","Randolph","2011","509","",
"01","Alabama","01113","Russell","2011","1,164","",
"01","Alabama","01117","Shelby","2011","8,251","",
"01","Alabama","01115","St. Clair","2011","4,921","",
"01","Alabama","01119","Sumter","2011","671","",
"01","Alabama","01121","Talladega","2011","5,366","",
"01","Alabama","01123","Tallapoosa","2011","1,110","",
"01","Alabama","01125","Tuscaloosa","2011","9,460","",
"01","Alabama","01127","Walker","2011","1,999","",
"01","Alabama","01129","Washington","2011","1,066","",
"01","Alabama","01131","Wilcox","2011","1,130","",
"01","Alabama","01133","Winston","2011","369","",
"02","Alaska","02013","Aleutians East","2011","0","",
"02","Alaska","02016","Aleutians West","2011","0","",
"02","Alaska","02020","Anchorage","2011","2,102","",
"02","Alaska","02050","Bethel","2011","1,638","",
"02","Alaska","02060","Bristol Bay","2011","0","",
"02","Alaska","02068","Denali","2011","0","",
"02","Alaska","02070","Dillingham","2011","502","",
"02","Alaska","02090","Fairbanks North Star","2011","6,657","",
"02","Alaska","02100","Haines","2011","3","",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2011","84","",
"02","Alaska","02110","Juneau","2011","3,405","",
"02","Alaska","02122","Kenai Peninsula","2011","1,414","",
"02","Alaska","02130","Ketchikan Gateway","2011","1,221","",
"02","Alaska","02150","Kodiak Island","2011","0","",
"02","Alaska","02164","Lake and Peninsula","2011","2","",
"02","Alaska","02170","Matanuska-Susitna","2011","2,680","",
"02","Alaska","02180","Nome","2011","358","",
"02","Alaska","02185","North Slope","2011","0","",
"02","Alaska","02188","Northwest Arctic","2011","658","",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2011","109","",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2011","0","",
"02","Alaska","02220","Sitka","2011","590","",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2011","68","",
"02","Alaska","02240","Southeast Fairbanks","2011","121","",
"02","Alaska","02261","Valdez-Cordova","2011","513","",
"02","Alaska","02270","Wade Hampton","2011","752","",
"02","Alaska","02275","WRANGELL CITY AND BURROUGH","2011","59","",
"02","Alaska","02282","Yakutat","2011","0","",
"02","Alaska","02290","Yukon-Koyukuk","2011","611","",
"04","Arizona","04001","Apache","2011","561","",
"04","Arizona","04003","Cochise","2011","14,491","",
"04","Arizona","04005","Coconino","2011","6,870","",
"04","Arizona","04007","Gila","2011","3,992","",
"04","Arizona","04009","Graham","2011","2,653","",
"04","Arizona","04011","Greenlee","2011","907","",
"04","Arizona","04012","La Paz","2011","3,882","",
"04","Arizona","04013","Maricopa","2011","89,466","",
"04","Arizona","04015","Mohave","2011","11,847","",
"04","Arizona","04017","Navajo","2011","7,698","",
"04","Arizona","04019","Pima","2011","42,380","",
"04","Arizona","04021","Pinal","2011","18,314","",
"04","Arizona","04023","Santa Cruz","2011","7,128","",
"04","Arizona","04025","Yavapai","2011","11,040","",
"04","Arizona","04027","Yuma","2011","7,001","",
"05","Arkansas","05001","Arkansas","2011","3,338","",
"05","Arkansas","05003","Ashley","2011","1,802","",
"05","Arkansas","05005","Baxter","2011","1,823","",
"05","Arkansas","05007","Benton","2011","7,869","",
"05","Arkansas","05009","Boone","2011","1,228","",
"05","Arkansas","05011","Bradley","2011","757","",
"05","Arkansas","05013","Calhoun","2011","298","",
"05","Arkansas","05015","Carroll","2011","572","",
"05","Arkansas","05017","Chicot","2011","1,867","",
"05","Arkansas","05019","Clark","2011","1,547","",
"05","Arkansas","05021","Clay","2011","2,640","",
"05","Arkansas","05023","Cleburne","2011","1,193","",
"05","Arkansas","05025","Cleveland","2011","65","",
"05","Arkansas","05027","Columbia","2011","871","",
"05","Arkansas","05029","Conway","2011","1,097","",
"05","Arkansas","05031","Craighead","2011","13,679","",
"05","Arkansas","05033","Crawford","2011","2,639","",
"05","Arkansas","05035","Crittenden","2011","3,075","",
"05","Arkansas","05037","Cross","2011","2,503","",
"05","Arkansas","05039","Dallas","2011","484","",
"05","Arkansas","05041","Desha","2011","2,485","",
"05","Arkansas","05043","Drew","2011","1,288","",
"05","Arkansas","05045","Faulkner","2011","6,080","",
"05","Arkansas","05047","Franklin","2011","541","",
"05","Arkansas","05049","Fulton","2011","181","",
"05","Arkansas","05051","Garland","2011","5,379","",
"05","Arkansas","05053","Grant","2011","1,716","",
"05","Arkansas","05055","Greene","2011","7,811","",
"05","Arkansas","05057","Hempstead","2011","847","",
"05","Arkansas","05059","Hot Spring","2011","3,096","",
"05","Arkansas","05061","Howard","2011","678","",
"05","Arkansas","05063","Independence","2011","3,111","",
"05","Arkansas","05065","Izard","2011","880","",
"05","Arkansas","05067","Jackson","2011","2,664","",
"05","Arkansas","05069","Jefferson","2011","7,276","",
"05","Arkansas","05071","Johnson","2011","1,635","",
"05","Arkansas","05073","Lafayette","2011","290","",
"05","Arkansas","05075","Lawrence","2011","2,241","",
"05","Arkansas","05077","Lee","2011","3,958","",
"05","Arkansas","05079","Lincoln","2011","3,397","",
"05","Arkansas","05081","Little River","2011","591","",
"05","Arkansas","05083","Logan","2011","957","",
"05","Arkansas","05085","Lonoke","2011","4,804","",
"05","Arkansas","05087","Madison","2011","1,163","",
"05","Arkansas","05089","Marion","2011","895","",
"05","Arkansas","05091","Miller","2011","3,259","",
"05","Arkansas","05093","Mississippi","2011","2,243","",
"05","Arkansas","05095","Monroe","2011","2,092","",
"05","Arkansas","05097","Montgomery","2011","225","",
"05","Arkansas","05099","Nevada","2011","514","",
"05","Arkansas","05101","Newton","2011","44","",
"05","Arkansas","05103","Ouachita","2011","2,299","",
"05","Arkansas","05105","Perry","2011","1,306","",
"05","Arkansas","05107","Phillips","2011","4,186","",
"05","Arkansas","05109","Pike","2011","66","",
"05","Arkansas","05111","Poinsett","2011","1,646","",
"05","Arkansas","05113","Polk","2011","854","",
"05","Arkansas","05115","Pope","2011","2,466","",
"05","Arkansas","05117","Prairie","2011","1,421","",
"05","Arkansas","05119","Pulaski","2011","22,269","",
"05","Arkansas","05121","Randolph","2011","1,060","",
"05","Arkansas","05125","Saline","2011","3,530","",
"05","Arkansas","05127","Scott","2011","171","",
"05","Arkansas","05129","Searcy","2011","25","",
"05","Arkansas","05131","Sebastian","2011","5,703","",
"05","Arkansas","05133","Sevier","2011","965","",
"05","Arkansas","05135","Sharp","2011","1,085","",
"05","Arkansas","05123","St. Francis","2011","2,067","",
"05","Arkansas","05137","Stone","2011","367","",
"05","Arkansas","05139","Union","2011","2,116","",
"05","Arkansas","05141","Van Buren","2011","433","",
"05","Arkansas","05143","Washington","2011","9,267","",
"05","Arkansas","05145","White","2011","4,404","",
"05","Arkansas","05147","Woodruff","2011","972","",
"05","Arkansas","05149","Yell","2011","1,461","",
"06","California","06001","Alameda","2011","30,191","",
"06","California","06003","Alpine","2011","0","",
"06","California","06005","Amador","2011","1,328","",
"06","California","06007","Butte","2011","14,123","",
"06","California","06009","Calaveras","2011","1,991","",
"06","California","06011","Colusa","2011","4,091","",
"06","California","06013","Contra Costa","2011","35,067","",
"06","California","06015","Del Norte","2011","1,413","",
"06","California","06017","El Dorado","2011","1,939","",
"06","California","06019","Fresno","2011","23,620","",
"06","California","06021","Glenn","2011","3,524","",
"06","California","06023","Humboldt","2011","7,388","",
"06","California","06025","Imperial","2011","1,898","",
"06","California","06027","Inyo","2011","168","",
"06","California","06029","Kern","2011","52,508","",
"06","California","06031","Kings","2011","7,206","",
"06","California","06033","Lake","2011","10,558","",
"06","California","06035","Lassen","2011","1,306","",
"06","California","06037","Los Angeles","2011","83,617","",
"06","California","06039","Madera","2011","11,284","",
"06","California","06041","Marin","2011","39,382","",
"06","California","06043","Mariposa","2011","240","",
"06","California","06045","Mendocino","2011","6,481","",
"06","California","06047","Merced","2011","58,569","",
"06","California","06049","Modoc","2011","692","",
"06","California","06051","Mono","2011","468","",
"06","California","06053","Monterey","2011","14,769","",
"06","California","06055","Napa","2011","10,693","",
"06","California","06057","Nevada","2011","1,213","",
"06","California","06059","Orange","2011","140,876","",
"06","California","06061","Placer","2011","6,871","",
"06","California","06063","Plumas","2011","1,071","",
"06","California","06065","Riverside","2011","58,867","",
"06","California","06067","Sacramento","2011","131,738","",
"06","California","06069","San Benito","2011","1,621","",
"06","California","06071","San Bernardino","2011","38,863","",
"06","California","06073","San Diego","2011","70,565","",
"06","California","06075","San Francisco","2011","0","",
"06","California","06077","San Joaquin","2011","30,564","",
"06","California","06079","San Luis Obispo","2011","10,802","",
"06","California","06081","San Mateo","2011","44,209","",
"06","California","06083","Santa Barbara","2011","21,940","",
"06","California","06085","Santa Clara","2011","135,552","",
"06","California","06087","Santa Cruz","2011","24,500","",
"06","California","06089","Shasta","2011","7,586","",
"06","California","06091","Sierra","2011","364","",
"06","California","06093","Siskiyou","2011","3,525","",
"06","California","06095","Solano","2011","21,369","",
"06","California","06097","Sonoma","2011","13,597","",
"06","California","06099","Stanislaus","2011","8,708","",
"06","California","06101","Sutter","2011","4,800","",
"06","California","06103","Tehama","2011","8,357","",
"06","California","06105","Trinity","2011","954","",
"06","California","06107","Tulare","2011","68,151","",
"06","California","06109","Tuolumne","2011","272","",
"06","California","06111","Ventura","2011","46,979","",
"06","California","06113","Yolo","2011","33,236","",
"06","California","06115","Yuba","2011","5,385","",
"08","Colorado","08001","Adams","2011","6,173","",
"08","Colorado","08003","Alamosa","2011","437","",
"08","Colorado","08005","Arapahoe","2011","7,244","",
"08","Colorado","08007","Archuleta","2011","406","",
"08","Colorado","08009","Baca","2011","0","",
"08","Colorado","08011","Bent","2011","65","",
"08","Colorado","08013","Boulder","2011","15,909","",
"08","Colorado","08014","Broomfield","2011","1,437","",
"08","Colorado","08015","Chaffee","2011","664","",
"08","Colorado","08017","Cheyenne","2011","13","",
"08","Colorado","08019","Clear Creek","2011","535","",
"08","Colorado","08021","Conejos","2011","77","",
"08","Colorado","08023","Costilla","2011","166","",
"08","Colorado","08025","Crowley","2011","32","",
"08","Colorado","08027","Custer","2011","111","",
"08","Colorado","08029","Delta","2011","634","",
"08","Colorado","08031","Denver","2011","10,414","",
"08","Colorado","08033","Dolores","2011","63","",
"08","Colorado","08035","Douglas","2011","2,612","",
"08","Colorado","08037","Eagle","2011","2,446","",
"08","Colorado","08041","El Paso","2011","13,799","",
"08","Colorado","08039","Elbert","2011","326","",
"08","Colorado","08043","Fremont","2011","3,349","",
"08","Colorado","08045","Garfield","2011","1,716","",
"08","Colorado","08047","Gilpin","2011","81","",
