Region,State,Is coastal,Plan Date,Title,Link
Albany,New York,False,2014-01-08,Albany Climate Change: Vulnerability Assessment and Adaptation Plan,http://www.albany2030.org/files/Albany%20Vulnerability%20Assessment%20%26%20Adaptation%20Plan.pdf
Anne Arundel County,Maryland,True,2011-11-01,Sea Level Rise Strategic Plan: Anne Arundel County,http://dnr.maryland.gov/ccs/Publication/AASLRStrategicPlan_final.pdf
Austin,Texas,False,2014-05-01,Towards a Climate-Resilient Austin,http://austintexas.gov/sites/default/files/files/Toward_a_Climate_Resilient_Austin.pdf
Baltimore,Maryland,True,2013-10-01,Disaster Preparedness and Planning Project: Combined All Hazards Mitigation and Climate Adaptation Plan,http://www.baltimoresustainability.org/plans/disaster-preparedness-plan/
Boston,Massachusetts,True,2013-10-29,Climate Ready Boston: Municipal Vulnerability to Climate Change,https://issuu.com/ees_boston/docs/final_report_29oct13
Boulder County,Colorado,False,2012-05-03,Boulder County Climate Change Preparedness Plan,https://assets.bouldercounty.org/wp-content/uploads/2017/03/climate-change-preparedness-plan.pdf
Chester,Pennsylvania,False,2014-06-25,The City of Chester Vision 2020: Climate Adaptation Planning Elements,http://www.chestercity.com/wp-content/uploads/2015/09/2014-06-25_Vision_2020_Climate_Adaptation_Elements.pdf
Chula Vista,California,True,2011-05-01,Climate Adaptation Strategies: Implementation Plans,http://www.chulavistaca.gov/home/showdocument?id=5443
Confederated Salish and Kootenai Tribes,Montana,False,2013-09-01,Climate Change Strategic Plan,http://www.csktribes.org/CSKTClimatePlan.pdf
Dane County,Wisconsin,False,2013-09-01,Dane County Climate Change and Emergency Preparedness,https://danedocs.countyofdane.com/pdf/press/9_-_30_Climate_Change_and_Emergency_Preparedness.pdf
Denver,Colorado,False,2014-06-24,City and County of Denver Climate Adaptation Plan,https://www.denvergov.org/content/dam/denvergov/Portals/771/documents/Climate/Climate_Adaptation_Final%20with%20letter.pdf
Dorchester County,Maryland,True,2008-10-01,Sea Level Rise: Technical Guidance for Dorchester County,http://dnr.maryland.gov/ccs/Publication/SeaLevel_Dorchester.pdf
Durham,New Hampshire,True,2013-06-25,Climate Adaptation Chapter: Developing Strategies to Protect Areas at Risk from Flooding due to Climate Change and Sea Level Rise,https://web.archive.org/web/20160702174616/http://www.ci.durham.nh.us/sites/default/files/fileattachments/administration/climate_adaption_proposed_plan.doc.pdf
Fairbanks,Arkansas,False,2010-01-01,Interior Issues Council Climate Change Task Force: Preliminary Vulnerability Assessment Report,https://investfairbanks.com/sites/default/files/documents/IIC%20CCTF%20Final%20for%20Mayor%20Hopkins.pdf
Flagstaff,Arizona,False,2012-09-01,City of Flagstaff Resiliency and Preparedness Study,http://flagstaff.az.gov/DocumentCenter/Home/View/38841
Fresno County,California,False,2011-03-01,Integrated Strategies for a Vibrant and Sustainable Fresno County,http://www.lgc.org/wordpress/docs/adaptation/fresno/Integrated_Strategies_for_Vibrant_Sustainable_Fresno_County_3011.pdf
Grand Rapids ,Michigan,False,2013-12-01,Grand Rapids Climate Resiliency Report,https://wmeac.org/wp-content/uploads/2014/10/grand-rapids-climate-resiliency-report-master-web.pdf
Groton,Connecticut,True,2011-04-01,"Preparing for Climate Change in Groton, Connecticut: A Model Process for Communities in the Northeast",http://www.groton-ct.gov/depts/plandev/docs/Final%20Report_Groton%20Coastal%20Climate%20Change%20ProjectJP.pdf
Guilford,Connecticut,True,2013-02-01,Town of Guilford Community Coastal Resilience Plan,http://www.ci.guilford.ct.us/wp-content/uploads/community-coastal-resilience-plan-Report-of-Options.pdf
Jamestown S’Klallam,Washington,True,2013-08-01,Climate Vulnerability Assessment and Adaptation Plan,http://www.jamestowntribe.org/programs/nrs/climchg/JSK_Climate_Change_Adaptation_Report_Final_Aug_2013s.pdf
