City,Strategy,Weather event,Community system,Category,Specific Impact/Sector
Albany,"A vulnerable area overlay district includes both temporal & spatial planning requirements to reﬂect changes in sea level & ﬂood inundation. L& in this area would be subject to additional building codes & l&-use regulation in order to protect property from ﬂooding. New development could be required to conduct a vulnerability assessment as part of the permit review process, similar to the City of Boston.",Coastal flooding;Permanent inundation,,land use,Infrastructure: Buildings/Development
Albany,"Develop design standards and building and zoning codes that address the impacts of climate change. These might include no build zones, renewable energy incentives, green building requirements, and freeboard incentives for ﬂood prone areas.",,,land use;building codes & engineering,Infrastructure: Buildings/Development
Albany,Work to become a Class 1 Community under FEMA's Community Rating Systems,,,practice & behavior,Infrastructure: Buildings/Development
Albany,Create a plan to address ﬂooding for at-risk critical facilities,Flash / surface flood;Coastal flooding;River flooding,Government continuity;Public health,planning,Infrastructure: Critical Facilities
Albany,Identify vulnerable communications infrastructure,,Internet and communications,research & monitoring,Infrastructure: Critical Facilities
Albany,"Cool strategies include green roofs, white roofs, strategically planted trees, green walls and urban greening. Many of these strategies are also addressed in other recommendations.",Extreme hot days,,green infrastructure,Infrastructure: Energy
Albany,Increase local renewable energy sources,,Energy,technology,Infrastructure: Energy
Albany,Invest in solar powered generators. Diesel generators have signiﬁcant negative impacts on air quality and should not be used especially during extreme heat events.,Extreme hot days;River flooding,Public health,technology,Infrastructure: Energy
Albany,Enhance stations and stops to provide protection from the elements such as structures or trees for heat relief,Extreme hot days;River flooding,Transportation,physical infrastructure,Infrastructure: Public Transportation
Albany,Ensure that buses will be able to keep passengers comfortable and function properly with increased heat.,Extreme hot days;River flooding,Transportation;Public health,practice & behavior,Infrastructure: Public Transportation
Albany,Ensure that municipal employees are equipped to work from home when ﬂooding prevents access to downtown Albany in order to maintain other services.,Flash / surface flood;Coastal flooding;River flooding,Business continuity;Government continuity,practice & behavior,Infrastructure: Public Transportation
Albany,Paint bus roofs white,Extreme hot days,Transportation,practice & behavior,Infrastructure: Public Transportation
Albany,"There are three strategies for adapting infrastructure: Accommodate (i.e. elevate), retreat, or abandon. Link these ratings with capital improvement schedules and implement appropriate stormwater BPMs.",,Wastewater/stormwater management,practice & behavior;funding,Infrastructure: Public Transportation
Albany,"Green infrastructure such as swales, rain gardens, and permeable pavers alongside roads, as well as permeable pavement, can help capture stormwater runoff and mitigate road ﬂooding. Excessive heat events may impact the durability of road surfaces.",Flash / surface flood;Extreme hot days;River flooding,Transportation;Wastewater/stormwater management,green infrastructure,Infrastructure: Roads
Albany,Transform low-volume roads with impervious pavement in order to increase water inﬁltration and reduce urban ﬂooding.,Flash / surface flood,Transportation;Wastewater/stormwater management,green infrastructure,Infrastructure: Roads
Albany,"Implement a pavement removal day where residents can apply to have their pavement torn up in order to create more pervious surfaces. This has been done in urban areas such as Somerville, MA by employing teams of volunteers.",Rain storms,Wastewater/stormwater management,practice & behavior,Infrastructure: Roads
Albany,Incorporate projected precipitation data and Hudson River tide levels in future stormwater/ CSO mitigation projects and plans,Rain storms;River flooding,Wastewater/stormwater management,planning,Infrastructure: Sewer treatment
Albany,"Develop and adopt policies regarding the citing, permitting, and maintenance of MSW and other similar facilities in designated and projected ﬂood-prone zones to ensure that dispersal of toxic materials and MSW does not occur during ﬂooding events.",Flash/ surface flood;River flooding;Groundwater flood,Waste management,policies,Infrastructure: Solid Waste
Albany,Implement a citywide green infrastructure program and increase urban greening through a Green Area Factor ranking system.,,Water supply,green infrastructure,Infrastructure: Water
Albany,Require new development projects to demonstrate projected water use,,Water supply;Industrial operations,policies,Infrastructure: Water
Albany,Enact Water Efﬁcient Landscaping Standards,Drought,Water supply,water conservation;policies,Infrastructure: Water
